RES_CYMET4_MSG1			_("Cyborg Materials Improved")
RES_CYMET4_MSG2			_("Layered dense composite alloys and energy-absorbing fibres")
RES_CYMET4_MSG3			_("Increases Kinetic Armor and Body Points")
RES_CYMET4_MSG4			_("All Cyborgs upgraded automatically")

RES_CYARM-H1_MSG1			_("Cyborg Thermal Armor Improved")
RES_CYARM-H1_MSG2			_("Heat resistant armored layers")
RES_CYARM-H1_MSG3			_("Thermal Armor increased")
RES_CYARM-H1_MSG4			_("All Cyborgs upgraded automatically")

RES_CYW_BB1_MSG1			_("New Cyborg Available")
RES_CYW_BB1_MSG2			_("Armed with Bunker Buster rocket")
RES_CYW_BB1_MSG3			_("Body Points: Medium")
RES_CYW_BB1_MSG4			_("Requires Cyborg factory to produce")

RES_CYW_MG4_MSG1			_("New Cyborg Available")
RES_CYW_MG4_MSG2			_("Armed with Cyborg Assault Gun")
RES_CYW_MG4_MSG3			_("Body Points: Medium")
RES_CYW_MG4_MSG4			_("Requires Cyborg factory to produce")

RES_CYJ_MIS_MSG1			_("New Jump Cyborg Available")
RES_CYJ_MIS_MSG2			_("Armed with Revenger Surface-to-Air missile")
RES_CYJ_MIS_MSG3			_("Body Points: Medium")
RES_CYJ_MIS_MSG4			_("Requires Cyborg factory to produce")

RES_CYJ_BB1_MSG1			_("New Jump Cyborg Available")
RES_CYJ_BB1_MSG2			_("Armed with Bunker Buster rocket")
RES_CYJ_BB1_MSG3			_("Body Points: Medium")
RES_CYJ_BB1_MSG4			_("Requires Cyborg factory to produce")

RES_DF_WU4_MSG1			_("Defenses Improved")
RES_DF_WU4_MSG2			_("High-tensile concrete reinforced with boron")
RES_DF_WU4_MSG3			_("Increases Armor and Body Points")
RES_DF_WU4_MSG4			_("All defenses and walls upgraded automatically")

RES_EMP_AA4_MSG1			_("New Defensive Structure Available")
RES_EMP_AA4_MSG2			_("AA Site with Tornado Flak Turret")
RES_EMP_AA4_MSG3			_("Automatically targets VTOLs")
RES_EMP_AA4_MSG4			_("Defensive Strength: Medium")

RES_EMP_AA1_MSG1			_("New Defensive Structure Available")
RES_EMP_AA1_MSG2			_("AA Site with Cyclone Flak Turret")
RES_EMP_AA1_MSG3			_("Automatically targets VTOLs")
RES_EMP_AA1_MSG4			_("Defensive Strength: Medium")

RES_EMP_AA2_MSG1			_("New Defensive Structure Available")
RES_EMP_AA2_MSG2			_("AA Site with Hurricane Gun Turret")
RES_EMP_AA2_MSG3			_("Automatically targets VTOL")
RES_EMP_AA2_MSG4			_("Defensive Strength: Medium")
