Research ID,Structure ID,unused
R-Defense-AASite-QuadRotMg,AASite-QuadMg1,189
R-Defense-Emplacement-HPVcannon,PillBox4,130
R-Defense-GuardTower-ATMiss,GuardTower5,123
R-Defense-GuardTower-Rail1,GuardTower1,119
R-Defense-HvyArtMissile,Emplacement-Howitzer105,134
R-Defense-HvyArtMissile,Emplacement-Rocket06-IDF,222
R-Defense-HvyArtMissile,Emplacement-MortarPit02,282
R-Defense-HvyFlamer,PillBox5,158
R-Defense-HvyMor,Emplacement-MortarPit01,142
R-Defense-MdArtMissile,Emplacement-MRL-pit,263
R-Defense-Pillbox-RotMG,PillBox1,126
R-Defense-PlasmiteFlamer,WallTower-Projector,184
R-Defense-PlasmiteFlamer,Tower-Projector,183
R-Defense-RotHow,Emplacement-Howitzer105,134
R-Defense-RotMG,PillBox1,126
R-Defense-RotMor,Emplacement-MortarPit01,142
R-Defense-SamSite2,P0-AASite-SAM1,260
R-Defense-Wall-RotMg,WallTower01,32
R-Defense-Wall-VulcanCan,WallTower03,102
R-Defense-WallTower-A-Tmiss,WallTower06,163
R-Defense-WallTower-HPVcannon,WallTower02,101
R-Defense-WallTower-SamHvy,WallTower-SamSite,344
R-Defense-WallTower-TwinAGun,Wall-RotMg,231
R-Defense-WallTower03,WallTower02,101
R-Defense-Rail3,Emplacement-Rail2,1337
R-Defense-WallTower-Rail3,WallTower-Rail2,1337
R-Sys-Sensor-Tower02,Sys-SensoTower01,89
