Research ID,unused,Subgroup icon,Major tech,Main icon,IMD,IMD2,MsgName,StructName,CompName,CompType,ResearchPoints,keyTopic,unused,unused,unused,unused,unused,unused,unused
R-Wpn-Howitzer-Incenediary,Level Two-Three,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_INH,0,Howitzer-Incenediary,WEAPON,12000,1,3,0,0,0,0,0,1
R-Defense-Howitzer-Incenediary,Level Two-Three,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_INH,Emplacement-Howitzer-Incenediary,0,0,4800,0,2,0,1,0,1,0,0
R-Wpn-Plasmite-Flamer,Level Three,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_PLFL,0,PlasmiteFlamer,WEAPON,7200,1,2,0,0,0,0,1,1
R-Defense-PlasmiteFlamer,Level Three,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_PFL,Plasmite-flamer-bunker,0,BODY,4000,0,1,0,1,2,1,0,0
R-Wpn-Mortar-Incenediary,Level Three,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_IMORT,0,Mortar-Incenediary,WEAPON,3600,1,2,0,0,0,0,0,1
R-Defense-MortarPit-Incenediary,Level Three,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_IMP,Emplacement-MortarPit-Incenediary,0,BODY,2400,0,2,0,1,0,1,0,0
R-Cyborg-Transport,Level All,0,0,IMAGE_RES_CYBORGTECH,0,0,RES_CYTRANS,0,TransporterBody,BODY,3600,1,2,0,0,0,0,0,1
R-SuperTransport,Level All,0,0,IMAGE_RES_CYBORGTECH,0,0,RES_SUPERTRANS,0,SuperTransportBody,BODY,4000,1,2,0,0,0,0,0,1
R-Cyborg-Armor-Heat07,Level Three,IMAGE_RES_GRPUPG,1,IMAGE_RES_CYBORGTECH,icamrhot.pie,0,0,0,0,BODY,14000,0,1,1,0,0,0,0,0
R-Cyborg-Armor-Heat08,Level Three,IMAGE_RES_GRPUPG,1,IMAGE_RES_CYBORGTECH,icamrhot.pie,0,0,0,0,BODY,16000,0,1,1,0,0,0,0,0
R-Cyborg-Armor-Heat09,Level Three,IMAGE_RES_GRPUPG,1,IMAGE_RES_CYBORGTECH,icamrhot.pie,0,0,0,0,BODY,18000,0,1,1,0,0,0,0,0
R-Vehicle-Armor-Heat07,Level Three,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icamrhot.pie,0,RES_V_AH7,0,0,BODY,17000,0,1,1,0,0,0,0,0
R-Vehicle-Armor-Heat08,Level Three,IMAGE_RES_GRPUPG,1,IMAGE_RES_DROIDTECH,icamrhot.pie,0,0,0,0,BODY,19000,0,1,1,0,0,0,0,0
R-Vehicle-Armor-Heat09,Level Three,IMAGE_RES_GRPUPG,1,IMAGE_RES_DROIDTECH,icamrhot.pie,0,0,0,0,BODY,21000,0,1,1,0,0,0,0,0
R-Sys-MobileRepairTurretHvy,Level Two,0,0,IMAGE_RES_SYSTEMTECH,0,0,RES_REPTUHVY,0,HeavyRepair,REPAIR,600,0,1,0,0,0,0,0,1
R-Vehicle-Prop-Tracks,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_TRACK1,0,tracked01,PROPULSION,2400,1,2,0,0,0,0,0,1
R-Vehicle-Prop-Hover,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_P_H1,0,hover01,PROPULSION,3600,1,2,0,0,0,0,0,1
R-Struc-Research-Module,Level One,0,0,IMAGE_RES_STRUCTURETECH,0,0,RES_ST_RM1,A0ResearchModule1,0,0,1200,1,1,0,0,0,1,0,0
R-Wpn-Rocket05-MiniPod,Level One,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_RK_MP1,0,Rocket-Pod,WEAPON,1200,1,1,0,0,0,0,0,2
R-Wpn-Rocket01-LtAT,Level All,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_RK_LTAT1,0,Rocket-LtA-T,WEAPON,3600,0,2,0,0,0,0,0,3
R-Wpn-Sunburst,Level All,0,1,IMAGE_RES_WEAPONTECH,0,0,0,0,Rocket-Sunburst,WEAPON,6000,0,1,0,0,0,0,0,2
R-Defense-HardcreteWall,Level All,0,0,IMAGE_RES_DEFENCE,0,0,RES_DF_HCW1,A0HardcreteMk1Wall,0,0,600,1,1,0,0,0,2,0,0
R-Defense-HardcreteGate,Level All,0,0,IMAGE_RES_DEFENCE,0,0,RES_DF_HCW1,A0HardcreteMk1Gate,0,0,1800,0,1,0,0,0,1,0,0
R-Wpn-Cannon1Mk1,Level One,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_CN1MK1,0,Cannon1Mk1,WEAPON,2400,1,1,0,0,0,0,0,3
R-Struc-Factory-Module,Level One,0,0,IMAGE_RES_STRUCTURETECH,0,0,RES_ST_FM1,A0FacMod1,0,0,2400,1,2,0,0,0,1,0,0
R-Wpn-MG1Mk1,Level One,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_MG1MK1,0,MG1Mk1,WEAPON,60,1,0,0,0,0,0,0,3
R-Wpn-MG2Mk1,Level One-Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_MG2MK1,0,MG2Mk1,WEAPON,1200,1,1,0,0,0,0,0,2
R-Wpn-MG3Mk1,Level One-Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_MG3MK1,0,MG3Mk1,WEAPON,2400,1,2,0,0,0,0,0,2
R-Wpn-Cannon2Mk1,Level One,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_CN2MK1,0,Cannon2A-TMk1,WEAPON,4800,0,2,0,0,0,0,0,1
R-Wpn-Rocket02-MRL,Level One-Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_RK_MRL1,0,Rocket-MRL,WEAPON,2400,1,1,0,0,0,0,0,1
R-Wpn-Mortar01Lt,Level One,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_MORTA1,0,Mortar1Mk1,WEAPON,2400,1,2,0,0,0,0,0,2
R-Wpn-Flamer01Mk1,Level One,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_FLAME1,0,Flame1Mk1,WEAPON,600,1,1,0,0,0,0,0,2
R-Wpn-Mortar02Hvy,Level One-Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_M2,0,Mortar2Mk1,WEAPON,7200,0,3,0,0,0,0,0,1
R-Struc-PowerModuleMk1,Level One,0,0,IMAGE_RES_POWERTECH,0,0,RES_POWMD1,A0PowMod1,0,0,1200,1,1,1,0,0,1,0,0
R-Vehicle-Body01,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B01,0,Body1REC,BODY,600,0,1,0,0,0,0,0,1
R-Vehicle-Body02,Level Two,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B02,0,Body2SUP,BODY,6000,1,1,0,0,0,0,0,1
R-Vehicle-Body03,Level Three,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B03,0,Body3MBT,BODY,14400,1,2,0,0,0,0,0,1
R-Vehicle-Body04,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B04,0,Body4ABT,BODY,1200,1,1,0,0,0,0,0,1
R-Vehicle-Body05,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B05,0,Body5REC,BODY,1200,0,1,0,0,0,0,0,1
R-Vehicle-Body06,Level Two,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B06,0,Body6SUPP,BODY,7200,1,2,0,0,0,0,0,1
R-Vehicle-Body07,Level Three,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B07,0,Body7ABT,BODY,28800,0,3,0,0,0,0,0,1
R-Vehicle-Body08,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B08,0,Body8MBT,BODY,2400,1,2,0,0,0,0,0,1
R-Vehicle-Body09,Level All,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B09,0,Body9REC,BODY,8400,1,3,0,0,0,0,0,1
R-Vehicle-Body10,Level Three,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B10,0,Body10MBT,BODY,43200,0,3,0,0,0,0,0,1
R-Vehicle-Body11,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B11,0,Body11ABT,BODY,2400,0,2,0,0,0,0,0,1
R-Vehicle-Body12,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_B12,0,Body12SUP,BODY,3600,1,2,0,0,0,0,0,1
R-Sys-Sensor-Tower01,Level All,0,0,IMAGE_RES_SYSTEMTECH,0,0,RES_SY_STW1,Sys-SensoTower01,0,0,900,0,1,0,0,0,1,0,0
R-Defense-WallTower02,Level One,0,0,IMAGE_RES_DEFENCE,0,0,RES_WT2_LC,WallTower02,0,0,1500,0,2,0,1,0,1,0,0
R-Defense-WallTower01,Level One-Two,0,0,IMAGE_RES_DEFENCE,0,0,RES_DF_WT1,WallTower01,0,0,1200,0,3,0,1,0,1,0,0
R-Defense-WallTower04,Level One,0,0,IMAGE_RES_DEFENCE,0,0,RES_WT4_HC,WallTower04,0,0,2400,0,2,0,1,0,1,0,0
R-Defense-WallTower03,Level One,0,0,IMAGE_RES_DEFENCE,0,0,RES_WT3_MC,WallTower03,0,0,1800,0,2,0,1,1,1,0,0
R-Sys-Sensor-Turret01,Level All,0,0,IMAGE_RES_SYSTEMTECH,0,0,RES_SENSO1,0,SensorTurret1Mk1,SENSOR,900,0,0,0,0,0,0,0,1
R-Struc-RepairFacility,Level One,0,0,IMAGE_RES_STRUCTURETECH,0,0,RES_REPAI1,A0RepairCentre3,0,0,2400,0,2,0,0,0,1,0,0
R-Wpn-Cannon4AMk1,Level Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_CN_4A,0,Cannon4AUTOMk1,WEAPON,7200,1,2,0,0,0,0,0,2
R-Sys-Engineering01,Level One-Two,IMAGE_RES_GRPUPG,0,IMAGE_RES_SYSTEMTECH,trlcon.pie,0,RES_ENGIN1,0,0,0,1200,1,1,1,0,0,0,0,1
R-Wpn-Cannon3Mk1,Level One,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_CN3MK1,0,Cannon375mmMk1,WEAPON,8800,1,4,0,0,0,0,0,1
R-Wpn-Rocket06-IDF,Level Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_RK_IDF,0,Rocket-IDF,WEAPON,7200,1,2,0,0,0,0,0,1
R-Wpn-HowitzerMk1,Level Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_HMK1,0,Howitzer105Mk1,WEAPON,9000,1,2,0,0,0,0,0,1
R-Struc-Factory-Cyborg,Level One,0,0,IMAGE_RES_STRUCTURETECH,0,0,RES_ST_FCY1,A0CyborgFactory,0,0,1800,0,1,0,0,0,1,0,0
R-Wpn-MG-Damage01,Level One,IMAGE_RES_GRPDAM,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_MG_D1,0,MG1Mk1,WEAPON,600,1,1,1,0,0,0,0,0
R-Wpn-MG-ROF01,Level One-Two,IMAGE_RES_GRPROF,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_MG_ROF1,0,MG1Mk1,WEAPON,3600,0,2,1,0,0,0,0,0
R-Wpn-MG-Damage02,Level One,IMAGE_RES_GRPDAM,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_MG_D2,0,MG1Mk1,WEAPON,1200,0,1,1,0,0,0,0,0
R-Wpn-MG-ROF02,Level Two,IMAGE_RES_GRPROF,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_MG_ROF2,0,MG1Mk1,WEAPON,4800,0,1,1,0,0,0,0,0
R-Wpn-MG-Damage03,Level One,IMAGE_RES_GRPDAM,1,IMAGE_RES_WEAPONTECH,0,0,0,0,MG1Mk1,WEAPON,2400,0,2,1,0,0,0,0,0
R-Wpn-MG-ROF03,Level Two-Three,IMAGE_RES_GRPROF,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_MG_ROF3,0,MG1Mk1,WEAPON,6800,1,1,1,0,0,0,0,0
R-Defense-WallUpgrade01,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DEFENCE,BLWALLH.PIE,0,RES_DF_WU1,0,0,0,1200,0,1,1,0,0,0,0,0
R-Struc-CommandRelay,Level One,0,0,IMAGE_RES_STRUCTURETECH,0,0,RES_ST_CR1,A0ComDroidControl,0,0,1200,1,1,0,0,0,1,0,0
R-Comp-SynapticLink,Level One,0,0,IMAGE_RES_COMPUTERTECH,icsynapt.PIE,0,RES_C_SL1,0,0,0,1200,1,1,0,0,0,0,0,0
R-Vehicle-Engine01,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,iceng.pie,0,RES_V_EN1,0,0,0,1200,1,1,1,0,0,0,0,0
R-Vehicle-Engine02,Level One,IMAGE_RES_GRPUPG,1,IMAGE_RES_DROIDTECH,iceng.pie,0,0,0,0,0,2400,1,1,1,0,0,0,0,0
R-Vehicle-Engine03,Level One-Two,IMAGE_RES_GRPUPG,1,IMAGE_RES_DROIDTECH,iceng.pie,0,0,0,0,0,4800,1,1,1,0,0,0,0,0
R-Wpn-Flamer-Damage01,Level One,IMAGE_RES_GRPDAM,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_FL_D1,0,Flame1Mk1,WEAPON,600,1,1,1,0,0,0,0,0
R-Wpn-Flamer-Damage02,Level One-Two,IMAGE_RES_GRPDAM,1,IMAGE_RES_WEAPONTECH,0,0,0,0,Flame1Mk1,WEAPON,1200,0,1,1,0,0,0,0,0
R-Wpn-Flamer-Damage03,Level One-Two,IMAGE_RES_GRPDAM,1,IMAGE_RES_WEAPONTECH,0,0,0,0,Flame1Mk1,WEAPON,2400,0,1,1,0,0,0,0,0
R-Wpn-Flamer-ROF01,Level One-Two,IMAGE_RES_GRPROF,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_FL_ROF1,0,Flame1Mk1,WEAPON,900,0,1,1,0,0,0,0,0
R-Wpn-Flamer-ROF02,Level Two,IMAGE_RES_GRPROF,1,IMAGE_RES_WEAPONTECH,0,0,0,0,Flame1Mk1,WEAPON,6000,1,2,1,0,0,0,0,0
R-Wpn-Flamer-ROF03,Level Two-Three,IMAGE_RES_GRPROF,1,IMAGE_RES_WEAPONTECH,0,0,0,0,Flame1Mk1,WEAPON,8000,0,1,1,0,0,0,0,0
R-Wpn-Cannon-Damage01,Level One,IMAGE_RES_GRPDAM,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_CN_D1,0,Cannon1Mk1,WEAPON,1200,0,1,1,0,0,0,0,0
R-Wpn-Cannon-Damage02,Level One,IMAGE_RES_GRPDAM,1,IMAGE_RES_WEAPONTECH,0,0,0,0,Cannon1Mk1,WEAPON,2400,0,1,1,0,0,0,0,0
R-Wpn-Cannon-Damage03,Level One-Two,IMAGE_RES_GRPDAM,1,IMAGE_RES_WEAPONTECH,0,0,0,0,Cannon1Mk1,WEAPON,3600,0,1,1,0,0,0,0,0
