Research ID,Structure ID,unused
R-Defense-Tower01,A0CommandCentre,0
R-Defense-Tower06,A0CommandCentre,0
R-Defense-Pillbox01,A0CommandCentre,0
R-Defense-Pillbox04,A0CommandCentre,0
R-Defense-Pillbox05,A0CommandCentre,0
R-Defense-Pillbox06,A0CommandCentre,0
R-Defense-WallTower01,A0CommandCentre,0
R-Defense-WallTower02,A0CommandCentre,0
R-Defense-WallTower03,A0CommandCentre,0
R-Defense-WallTower04,A0CommandCentre,0
R-Defense-WallTower06,A0CommandCentre,0
R-Defense-Howitzer-Incenediary,A0CommandCentre,0
R-Defense-PlasmiteFlamer,A0CommandCentre,0
R-Defense-MortarPit-Incenediary,A0CommandCentre,0
R-Defense-AASite-QuadBof,A0CommandCentre,0
R-Defense-AASite-QuadMg1,A0CommandCentre,0
R-Defense-AASite-QuadRotMg,A0CommandCentre,0
R-Defense-PrisLas,A0CommandCentre,0
R-Defense-RotHow,A0CommandCentre,0
R-Defense-RotMor,A0CommandCentre,0
R-Defense-GuardTower-ATMiss,A0CommandCentre,0
R-Defense-GuardTower-Rail1,A0CommandCentre,0
R-Defense-Howitzer,A0CommandCentre,0
R-Defense-MortarPit,A0CommandCentre,0
R-Defense-Wall-RotMg,A0CommandCentre,0
R-Defense-Wall-VulcanCan,A0CommandCentre,0
R-Defense-WallTower-HvyFlamer,A0CommandCentre,0
R-Defense-WallTower-PulseLas,A0CommandCentre,0
R-Defense-WallTower-Rail2,A0CommandCentre,0
R-Defense-HvyFlamer,A0CommandCentre,0
R-Defense-SamSite1,A0CommandCentre,0
R-Defense-SamSite2,A0CommandCentre,0
R-Defense-HvyHowitzer,A0CommandCentre,0
R-Defense-MRL,A0CommandCentre,0
R-Defense-RotMG,A0CommandCentre,0
R-Defense-RotCannon,A0CommandCentre,0
R-Defense-HvyMor,A0CommandCentre,0
R-Defense-IDFRocket,A0CommandCentre,0
R-Defense-HvyA-Trocket,A0CommandCentre,0
R-Defense-Emplacement-HPVcannon,A0CommandCentre,0
R-Defense-PulseLas,A0CommandCentre,0
R-Defense-Rail2,A0CommandCentre,0
R-Defense-Rail3,A0CommandCentre,0
R-Defense-MdArtMissile,A0CommandCentre,0
R-Defense-HvyArtMissile,A0CommandCentre,0
R-Defense-WallTower-HvyA-Trocket,A0CommandCentre,0
R-Defense-WallTower-HPVcannon,A0CommandCentre,0
R-Defense-WallTower-A-Tmiss,A0CommandCentre,0
R-Defense-WallTower-Rail3,A0CommandCentre,0
R-Defense-MassDriver,A0CommandCentre,0
R-Defense-Super-Cannon,A0CommandCentre,0
R-Defense-Pillbox-RotMG,A0CommandCentre,0
R-Defense-Cannon6,A0CommandCentre,0
R-Defense-HeavyLas,A0CommandCentre,0
R-Wpn-LasSat,A0CommandCentre,0
R-Defense-PlasmaCannon,A0CommandCentre,0
R-Defense-EMPCannon,A0CommandCentre,0
R-Defense-Super-Rocket,A0CommandCentre,0
R-Defense-Super-Missile,A0CommandCentre,0
R-Defense-AA-Laser,A0CommandCentre,0
R-Defense-EMPMortar,A0CommandCentre,0
R-Defense-WallTower-SamHvy,A0CommandCentre,0
R-Defense-WallTower-QuadRotAA,A0CommandCentre,0
R-Defense-WallTower-DoubleAAgun,A0CommandCentre,0
R-Defense-WallTower-SamSite,A0CommandCentre,0
R-Defense-WallTower-TwinAGun,A0CommandCentre,0
R-Defense-Sunburst,A0CommandCentre,0
