Weapon key,Unused,price,buildPoints,weight,Unused,Unused,HP,GfxFile,MountGfx,muzzleGfx,flightGfx,hitGfx,missGfx,waterGfx,trailGfx,shortRange,longRange,shortHit,longHit,firePause,Unused,numRounds,reloadTime,damage,splash radius,splash chance,splash damage,incenTime,incenDamage,incenRadius,directLife,radiusLife,flightSpeed,Unused,fireOnMove,weaponClass,weaponSubClass,movement,weaponEffect,rotate,maxElevation,minElevation,facePlayer,faceInFlight,recoilValue,minRange,LightWorld,effectSize,surfaceToAir,numAttackRuns,designable,penetrate
ZNULLWEAPON,Level All,0,250,0,0,0,0,Mibnkgun.pie,MIBNKTUR.PIE,FXLRocPd.PIE,FXMflare.PIE,FXMPExp.PIE,FXMPExp.PIE,FXSSplsh.PIE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,NO,MISC,MACHINE GUN,DIRECT,ANTI PERSONNEL,0,90,-30,YES,YES,100,0,NO,100,0,0,0,0
TUTMG,Level One,10,50,200,1,5,75,GNLMG1.PIE,TRLMG1.PIE,FXLMgun.PIE,FXTracer.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,512,768,75,50,5,1,0,0,10,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,20,0,NO,100,100,0,1,0
Superweapon2,Level All,5,5,1,1,5,9999,GNWPFGSS.PIE,TRWPFGSS.PIE,FXSHgssM.PIE,FXSHgssA.PIE,FXFlech4.PIE,FXFlech4.PIE,FXVLSWav.PIE,0,256,11008,99,90,1,1,0,0,5000,640,100,1000,0,0,0,10,100,1800,20,YES,HEAT,ENERGY,HOMING-DIRECT,ALL ROUNDER,180,90,-60,YES,NO,100,0,YES,150,0,0,1,0
Superweapon,Level All,10,50,100,1,5,9999,GNLMG1.PIE,TRLMG1.PIE,FXLMgun.PIE,FXTracer.PIE,FXGRDexl.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,512,768,99,90,4,1,0,0,5000,64,100,1000,0,0,0,10,100,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,20,0,NO,25,0,0,0,0
SpyTurret01,Level All,400,1600,200,0,0,200,GNHECM3.PIE,TRHECM3.PIE,FXLRocPd.PIE,FXMflare.PIE,FXMPExp.PIE,FXMPExp.PIE,FXSSplsh.PIE,0,256,1536,100,100,1,0,0,0,2,0,0,0,0,0,0,0,0,2500,0,NO,HEAT,ELECTRONIC,HOMING-DIRECT,ANTI PERSONNEL,180,90,-60,YES,YES,0,0,NO,100,0,0,1,0
RocketSuper,Level All,1200,1250,100000,1,10,5,GNWPFRKT.PIE,TRWPFRKT.PIE,FXMRocAt.PIE,FXMPLME.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,512,2048,70,80,5,2,4,100,280,0,0,0,0,0,0,0,10,1800,20,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,180,20,-60,YES,NO,0,128,YES,100,0,0,0,0
MissileSuper,Level Three,1600,1200,120000,1,10,50,gnwpfmsl.PIE,Trwpfmsl.PIE,FXMMort.PIE,FXHPLME.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,640,3072,80,90,8,2,4,200,1100,64,100,100,0,0,0,0,10,1500,20,YES,KINETIC,MISSILE,HOMING-DIRECT,ANTI TANK,180,90,-30,YES,NO,10,128,YES,100,100,0,0,0
MassDriver,Level All,2000,2000,150000,1,120,900,GNWPFGSS.PIE,TRWPFGSS.PIE,FXSHgssM.PIE,FXSHgssA.PIE,FXFlech4.PIE,FXFlech4.PIE,FXVLSWav.PIE,0,128,2048,80,90,90,1,0,0,1200,320,100,750,0,0,0,0,10,1800,20,YES,KINETIC,GAUSS,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,100,0,YES,150,0,0,0,0
CannonSuper,Level All,800,2000,120000,0,0,500,GNWPFCAN.PIE,TRWPFCAN.PIE,FXSHcanM.PIE,FXSHcanA.PIE,fxgrdexS.PIE,fxgrdexS.PIE,FXSSplsh.PIE,0,128,1408,80,90,60,2,0,0,380,256,100,260,0,0,0,10,0,1500,20,NO,KINETIC,CANNON,DIRECT,ALL ROUNDER,0,90,-60,YES,YES,150,0,YES,100,0,0,0,0
Rocket-VTOL-Pod,Level All,75,375,200,1,10,30,GNLRCKTP.PIE,TRLRCKTP.PIE,FXLRocPd.PIE,FXMflare.PIE,FXMPExp.PIE,FXMPExp.PIE,FXSSplsh.PIE,0,640,1024,50,30,5,2,0,0,44,0,0,0,0,0,0,10,10,2250,20,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,180,20,-90,YES,YES,10,128,YES,25,100,5,1,0
